Modelo;Version;Year
BRONCO;SPORT BIG BEND 4X4 - AUTOMATICO;2023
BRONCO;SPORT OUTER BANKS 4X4 - AUTOMATICO;2023
BRONCO;SPORT BADLADNS 4X4 - AUTOMATICO;2023
BRONCO;SPORT WILDTRAK 4X4 - AUTOMATICO;2023
BRONCO;SPORT 4X4 - AUTOMATICO;2023
BRONCO;SPORT HERITAGE 4X4 - AUTOMATICO;2023
BRONCO;SPORT HERITAGE LIMITED 4X4 - AUTOMATICO;2023
BRONCO;SPORT WILDTRACK 4X4;2023
EXPLORER;BASE L4 - AUTOMATICO;2023
EXPLORER;LIMITED L4 - AUTOMATICO;2023
EXPLORER;XLT L4 - AUTOMATICO;2023
EXPLORER;LIMITED L4 4X4 - AUTOMATICO;2023
EXPLORER;BASE L4 4X4 - AUTOMATICO;2023
EXPLORER;XLT L4 4X4 - AUTOMATICO;2023
EXPLORER;ST AWD - AUTOMATICO;2023
EXPLORER;ST 4X4 - AUTOMATICO;2023
EXPLORER;PLATINUM - AUTOMATICO;2023
EXPLORER;ST - AUTOMATICO;2023
EXPLORER;KING RANCH - AUTOMATICO;2023
EXPLORER;LTD ELM2;2023
F-150;FX47 SEFI 4X4 A/A;2023
F-150;SPORT;2023
RANGER;SUPER CREW LARIAT 4X4 - AUTOMATICO;2023
RANGER;SUPER CREW LARIAT - AUTOMATICO;2023
RANGER;SUPER CREW XL 4X4 - AUTOMATICO;2023
RANGER;SUPER CREW XL - AUTOMATICO;2023
RANGER;SUPER CREW XLT - AUTOMATICO;2023
RANGER;SUPER CREW XLT 4X4 - AUTOMATICO;2023
RANGER;SUPER CAB. 4P XLT 4X4 - AUTOMATICO;2023
RANGER;SUPER CAB. 4P XLT - AUTOMATICO;2023
RANGER;SUPER CAB. 4P  LARIAT - AUTOMATICO;2023
RANGER;SUPER CAB. 4P LARIAT 4X4 - AUTOMATICO;2023
RANGER;SUPER CAB. 4P XL 4X4 - AUTOMATICO;2023
RANGER;SUPER CAB. 4P  XL - AUTOMATICO;2023
RANGER;DOBLE CAB. XLS - SINCRONICO;2023
RANGER;CREW CAB. LARIAT 4X4 - AUTOMATICO;2023
RANGER;CREW CAB. LARIAT - AUTOMATICO;2023
RANGER;CREW CAB. XL 4X4 - AUTOMATICO;2023
RANGER;CREW CAB. XL - AUTOMATICO;2023
RANGER;CREW CAB. XLT - AUTOMATICO;2023
RANGER;CREW CAB. XLT 4X4 - AUTOMATICO;2023
RANGER;RANGER JES1;2023
RANGER;DOBLE CAB XLT 4X4 DIESEL - AUTOMATICO;2023
RANGER;DOBLE CAB XLS SINC;2023
RANGER;DOBLE CAB XLS 4X4 DIESEL - SINCRONICO;2023
RANGER;DOBLE CAB. XLT 4X4 DIESEL.;2023
RANGER;DOBLE CAB. XLT 4X4 DIESEL SINC;2023
RANGER;DOBLE CAB. XLT 4X4 DIESEL AUT;2023
RANGER;DOBLE CAB.XLT 4X4 DIESEL SINC;2023
RANGER;JBB3 XLS;2023
RANGER;JWH3 XLT;2023
EXPEDITION;PLATINUM V6 - AUTOMATICO;2023
EXPEDITION;PLATINUM V6 AWD - AUTOMATICO;2023
EXPEDITION;KING RANCH V6 4X4 - AUTOMATICO;2023
EXPEDITION;KING RANCH V6 - AUTOMATICO;2023
EXPEDITION;LIMITED V6 4X4 - AUTOMATICO;2023
EXPEDITION;XLT V6 4X4 - AUTOMATICO;2023
EXPEDITION;XLT V6 - AUTOMATICO;2023
EXPEDITION;MAX LIMITED - AUTOMATICO;2023
EXPEDITION;MAX LIMITED AWD - AUTOMATICO;2023
EXPEDITION;MAX PLATINUM - AUTOMATICO;2023
EXPEDITION;MAX PLATINUM AWD - AUTOMATICO;2023
EXPEDITION;MAX XLT - AUTOMATICO;2023
EXPEDITION;MAX XLT AWD - AUTOMATICO;2023
EXPEDITION;PLATINUM V6 4X4 - AUTOMATICO;2023
EXPEDITION;MAX LIMITED V6 - AUTOMATICO;2023
EXPEDITION;MAX LIMITED V6 4X4 - AUTOMATICO;2023
EXPEDITION;MAX PLATINUM V6 - AUTOMATICO;2023
EXPEDITION;MAX PLATINUM V6 4X4 - AUTOMATICO;2023
EXPEDITION;MAX XLT V6 - AUTOMATICO;2023
EXPEDITION;MAX XLT V6 4X4 - AUTOMATICO;2023
EXPEDITION;MAX KING RANCH V6 - AUTOMATICO;2023
EXPEDITION;MAX KING RANCH V6 4X4 - AUTOMATICO;2023
EXPEDITION;TIMBERLINE - AUTOMATICO;2023
EXPEDITION;XL STX 4X4 - AUTOMATICO;2023
EXPEDITION;XL STX - AUTOMATICO;2023
ESCAPE;BASE TURBO - AUTOMATICO;2023
ESCAPE;BASE TURBO AWD - AUTOMATICO;2023
ESCAPE;ACTIVE TURBO AWD - AUTOMATICO;2023
ESCAPE;ACTIVE TURBO - AUTOMATICO;2023
ESCAPE;PLATINUM TURBO AWD - AUTOMATICO;2023
ESCAPE;ST-LINE SELECT TURBO AWD - AUTOMATICO;2023
ESCAPE;ST-LINE ELITE TURBO AWD - AUTOMATICO;2023
ESCAPE;ST-LINE TURBO AWD - AUTOMATICO;2023
ESCAPE;ST-LINE TURBO - AUTOMATICO;2023
ENCAVA;MINIBUS;2023
F 150;XL / LARIAT SUPER CREW 4X4 - AUTOMATICO;2023
F 150;XL - AUTOMATICO;2023
F 150;XL SUPERCAB 4X4 - AUTOMATICO;2023
F 150;LARIAT SUPER CREW 4X4 - AUTOMATICO;2023
F 150;PLATINUM SUPER CREW 4X4 - AUTO;2023
F 150;PLATINUM SUPER CREW - AUTOMATICO;2023
F 150;KING RANCH SUPER CREW - AUTOMATICO;2023
F 150;KING RANCH SUPER CREW 4X4 - AUTOMATICO;2023
F 150;XLT SUPERCAB - AUTOMATICO;2023
F 150;XLT REGULAR CAB. - AUTOMATICO;2023
F 150;XL REG. CAB. - AUTOMATICO;2023
F 150;XL SUPER CAB 4X4 - AUTOMATICO;2023
F 150;XLT SUPER CAB - AUTOMATICO;2023
F 150;RAPTOR SUPER CREW 4X4 - AUTOMATICO;2023
F 150;PLATINUM SUPER CREW 4X4 - AUTOMATICO;2023
F 150;LIMITED SUPERCREW 4X4 TURBO - AUTOMATICO;2023
F 150;LIMITED SUPERCREW TURBO - AUTOMATICO;2023
F 250 SUPER DUTY;CREW CAB KING RANCH 4X4;2023
F 250 SUPER DUTY;CREW CAB KING RANCH 4X4 - AUTOMATICO;2023
TERRITORY;TITANIUM - CVT;2023
BLAZER;RS AWD - AUTOMATICO;2023
BLAZER;RS - AUTOMATICO;2023
BLAZER;2LT TURBO - AUTOMATICO;2023
BLAZER;2LT TURBO AWD - AUTOMATICO;2023
BLAZER;3LT TURBO - AUTOMATICO;2023
BLAZER;3LT TURBO AWD - AUTOMATICO;2023
BLAZER;PREMIER TURBO AWD - AUTOMATICO;2023
BLAZER;PREMIER TURBO - AUTOMATICO;2023
CORVETTE;STINGRAY 1LT - EMB AUTO;2023
CORVETTE;STINGRAY CONV. 1LT - EMB AUTO;2023
CORVETTE;STINGRAY 2LT - EMB AUTO;2023
CORVETTE;STINGRAY 3LT - EMB AUTO;2023
CORVETTE;STINGRAY CONV. 3LT - EMB AUTO;2023
CORVETTE;STINGRAY CONV. 2LT - EMB AUTO;2023
CORVETTE;Z06 CONV. 3LZ - SINCRONICO;2023
CAMARO;SS - SINCRONICO;2023
CAMARO;SS CONV. - SINCRONICO;2023
CAMARO;SS - AUTOMATICO;2023
CAMARO;SS CONV. - AUTOMATICO;2023
CAMARO;ZL1 CONV - AUTOMATICO;2023
CAMARO;ZL1 - AUTOMATICO;2023
CAMARO;ZL1 - SINCRONICO;2023
CAMARO;SS V8 - SINCRONICO;2023
CAMARO;SS CONV. V8 - SINCRONICO;2023
CAMARO;SS V8 - AUTOMATICO;2023
CAMARO;SS CONV. V8 - AUTOMATICO;2023
CAMARO;ZL1 CONV. V8 - AUTOMATICO;2023
CAMARO;ZL1 V8 - AUTOMATICO;2023
CAMARO;ZL1 V8 - SINCRONICO;2023
CAMARO;LT CONV. - AUTOMATICO;2023
CAMARO;LT CONV. - SINCRONICO;2023
CAMARO;ZL1 CONV. V8 - SINCRONICO;2023
CAMARO;CONV. LT1 - SINCRONICO;2023
CAMARO;LT1 - SINCRONICO;2023
CAMARO;1SS V8 - SINCRONICO;2023
CAMARO;1SS CONV. V8 - SINCRONICO;2023
CAMARO;1SS V8 - AUTOMATICO;2023
CAMARO;1SS CONV. V8 - AUTOMATICO;2023
CAMARO;1LT - SINCRONICO;2023
CAMARO;1LT - AUTOMATICO;2023
CAMARO;1LT CONV. - AUTOMATICO;2023
CAMARO;1LT CONV. - SINCRONICO;2023
CAMARO;1LS - SINCRONICO;2023
CAMARO;2LT V6 - SINCRONICO;2023
CAMARO;2SS V8 - SINCRONICO;2023
CAMARO;2LT CONV. V6 - SINCRONICO;2023
CAMARO;2SS CONV. V8 - SINCRONICO;2023
CAMARO;2LT - SINCRONICO;2023
CAMARO;2LT CONV. - SINCRONICO;2023
CAMARO;3LT - SINCRONICO;2023
CAMARO;3LT CONV. - SINCRONICO;2023
CORVETTE;STINGRAY 1LT - EMB AUTO;2023
CORVETTE;STINGRAY CONV. 1LT - EMB AUTO;2023
CORVETTE;STINGRAY 2LT - EMB AUTO;2023
CORVETTE;STINGRAY 3LT - EMB AUTO;2023
CORVETTE;STINGRAY CONV. 3LT - EMB AUTO;2023
CORVETTE;STINGRAY CONV. 2LT - EMB AUTO;2023
CORVETTE;Z06 CONV. 3LZ - SINCRONICO;2023
MALIBU;LS TURBO - AUTOMATICO;2023
MALIBU;1LT TURBO - AUTOMATICO;2023
MALIBU;RS TURBO - CVT;2023
MALIBU;LS TURBO - CVT;2023
MALIBU;1LT TURBO - CVT;2023
MALIBU;2LT TURBO - CVT;2023
MALIBU;LS FLEET TURBO - CVT;2023
SUBURBAN;K1500;2023
