Modelo;Versiones
BRONCO;SPORT BIG BEND 4X4 - AUTOMATICO
BRONCO;SPORT OUTER BANKS 4X4 - AUTOMATICO
BRONCO;SPORT BADLADNS 4X4 - AUTOMATICO
BRONCO;SPORT WILDTRAK 4X4 - AUTOMATICO
BRONCO;SPORT 4X4 - AUTOMATICO
BRONCO;SPORT HERITAGE 4X4 - AUTOMATICO
BRONCO;SPORT HERITAGE LIMITED 4X4 - AUTOMATICO
BRONCO;SPORT WILDTRACK 4X4
EXPLORER;BASE L4 - AUTOMATICO
EXPLORER;LIMITED L4 - AUTOMATICO
EXPLORER;XLT L4 - AUTOMATICO
EXPLORER;LIMITED L4 4X4 - AUTOMATICO
EXPLORER;BASE L4 4X4 - AUTOMATICO
EXPLORER;XLT L4 4X4 - AUTOMATICO
EXPLORER;ST AWD - AUTOMATICO
EXPLORER;ST 4X4 - AUTOMATICO
EXPLORER;PLATINUM - AUTOMATICO
EXPLORER;ST - AUTOMATICO
EXPLORER;KING RANCH - AUTOMATICO
EXPLORER;LTD ELM2
F-150;FX47 SEFI 4X4 A/A
F-150;SPORT
RANGER;SUPER CREW LARIAT 4X4 - AUTOMATICO
RANGER;SUPER CREW LARIAT - AUTOMATICO
RANGER;SUPER CREW XL 4X4 - AUTOMATICO
RANGER;SUPER CREW XL - AUTOMATICO
RANGER;SUPER CREW XLT - AUTOMATICO
RANGER;SUPER CREW XLT 4X4 - AUTOMATICO
RANGER;SUPER CAB. 4P XLT 4X4 - AUTOMATICO
RANGER;SUPER CAB. 4P XLT - AUTOMATICO
RANGER;SUPER CAB. 4P  LARIAT - AUTOMATICO
RANGER;SUPER CAB. 4P LARIAT 4X4 - AUTOMATICO
RANGER;SUPER CAB. 4P XL 4X4 - AUTOMATICO
RANGER;SUPER CAB. 4P  XL - AUTOMATICO
RANGER;DOBLE CAB. XLS - SINCRONICO
RANGER;CREW CAB. LARIAT 4X4 - AUTOMATICO
RANGER;CREW CAB. LARIAT - AUTOMATICO
RANGER;CREW CAB. XL 4X4 - AUTOMATICO
RANGER;CREW CAB. XL - AUTOMATICO
RANGER;CREW CAB. XLT - AUTOMATICO
RANGER;CREW CAB. XLT 4X4 - AUTOMATICO
RANGER;RANGER JES1
RANGER;DOBLE CAB XLT 4X4 DIESEL - AUTOMATICO
RANGER;DOBLE CAB XLS SINC
RANGER;DOBLE CAB XLS 4X4 DIESEL - SINCRONICO
RANGER;DOBLE CAB. XLT 4X4 DIESEL.
RANGER;DOBLE CAB. XLT 4X4 DIESEL SINC
RANGER;DOBLE CAB. XLT 4X4 DIESEL AUT
RANGER;DOBLE CAB.XLT 4X4 DIESEL SINC
RANGER;JBB3 XLS
RANGER;JWH3 XLT
EXPEDITION;PLATINUM V6 - AUTOMATICO
EXPEDITION;PLATINUM V6 AWD - AUTOMATICO
EXPEDITION;KING RANCH V6 4X4 - AUTOMATICO
EXPEDITION;KING RANCH V6 - AUTOMATICO
EXPEDITION;LIMITED V6 4X4 - AUTOMATICO
EXPEDITION;XLT V6 4X4 - AUTOMATICO
EXPEDITION;XLT V6 - AUTOMATICO
EXPEDITION;MAX LIMITED - AUTOMATICO
EXPEDITION;MAX LIMITED AWD - AUTOMATICO
EXPEDITION;MAX PLATINUM - AUTOMATICO
EXPEDITION;MAX PLATINUM AWD - AUTOMATICO
EXPEDITION;MAX XLT - AUTOMATICO
