Version;Year
SPORT BIG BEND 4X4 - AUTOMATICO;2023
SPORT OUTER BANKS 4X4 - AUTOMATICO;2023
SPORT BADLADNS 4X4 - AUTOMATICO;2023
SPORT WILDTRAK 4X4 - AUTOMATICO;2023
SPORT 4X4 - AUTOMATICO;2023
SPORT HERITAGE 4X4 - AUTOMATICO;2023
SPORT HERITAGE LIMITED 4X4 - AUTOMATICO;2023
SPORT WILDTRACK 4X4;2023
BASE L4 - AUTOMATICO;2023
LIMITED L4 - AUTOMATICO;2023
XLT L4 - AUTOMATICO;2023
LIMITED L4 4X4 - AUTOMATICO;2023
BASE L4 4X4 - AUTOMATICO;2023
XLT L4 4X4 - AUTOMATICO;2023
ST AWD - AUTOMATICO;2023
ST 4X4 - AUTOMATICO;2023
PLATINUM - AUTOMATICO;2023
ST - AUTOMATICO;2023
KING RANCH - AUTOMATICO;2023
LTD ELM2;2023
FX47 SEFI 4X4 A/A;2023
SPORT;2023
SUPER CREW LARIAT 4X4 - AUTOMATICO;2023
SUPER CREW LARIAT - AUTOMATICO;2023
SUPER CREW XL 4X4 - AUTOMATICO;2023
SUPER CREW XL - AUTOMATICO;2023
SUPER CREW XLT - AUTOMATICO;2023
SUPER CREW XLT 4X4 - AUTOMATICO;2023
SUPER CAB. 4P XLT 4X4 - AUTOMATICO;2023
SUPER CAB. 4P XLT - AUTOMATICO;2023
SUPER CAB. 4P  LARIAT - AUTOMATICO;2023
SUPER CAB. 4P LARIAT 4X4 - AUTOMATICO;2023
SUPER CAB. 4P XL 4X4 - AUTOMATICO;2023
SUPER CAB. 4P  XL - AUTOMATICO;2023
DOBLE CAB. XLS - SINCRONICO;2023
CREW CAB. LARIAT 4X4 - AUTOMATICO;2023
CREW CAB. LARIAT - AUTOMATICO;2023
CREW CAB. XL 4X4 - AUTOMATICO;2023
CREW CAB. XL - AUTOMATICO;2023
CREW CAB. XLT - AUTOMATICO;2023
CREW CAB. XLT 4X4 - AUTOMATICO;2023
RANGER JES1;2023
DOBLE CAB XLT 4X4 DIESEL - AUTOMATICO;2023
DOBLE CAB XLS SINC;2023
DOBLE CAB XLS 4X4 DIESEL - SINCRONICO;2023
DOBLE CAB. XLT 4X4 DIESEL.;2023
DOBLE CAB. XLT 4X4 DIESEL SINC;2023
DOBLE CAB. XLT 4X4 DIESEL AUT;2023
DOBLE CAB.XLT 4X4 DIESEL SINC;2023
JBB3 XLS;2023
JWH3 XLT;2023
PLATINUM V6 - AUTOMATICO;2023
PLATINUM V6 AWD - AUTOMATICO;2023
KING RANCH V6 4X4 - AUTOMATICO;2023
KING RANCH V6 - AUTOMATICO;2023
LIMITED V6 4X4 - AUTOMATICO;2023
XLT V6 4X4 - AUTOMATICO;2023
XLT V6 - AUTOMATICO;2023
MAX LIMITED - AUTOMATICO;2023
MAX LIMITED AWD - AUTOMATICO;2023
MAX PLATINUM - AUTOMATICO;2023
MAX PLATINUM AWD - AUTOMATICO;2023
MAX XLT - AUTOMATICO;2023
MAX XLT AWD - AUTOMATICO;2023
PLATINUM V6 4X4 - AUTOMATICO;2023
MAX LIMITED V6 - AUTOMATICO;2023
MAX LIMITED V6 4X4 - AUTOMATICO;2023
MAX PLATINUM V6 - AUTOMATICO;2023
MAX PLATINUM V6 4X4 - AUTOMATICO;2023
MAX XLT V6 - AUTOMATICO;2023
MAX XLT V6 4X4 - AUTOMATICO;2023
MAX KING RANCH V6 - AUTOMATICO;2023
